,n_jobtype_area_,n_year,n_sektor_area,n_area,jobtype,sektor,area,year
79,1794,380597,14534,129310,laege,social,storkoebenhavn,2007
80,1180,380597,14534,129310,laegesekretaer,social,storkoebenhavn,2007
81,4390,380597,14534,129310,pleje,social,storkoebenhavn,2007
82,437,380597,14534,129310,psykologi,social,storkoebenhavn,2007
83,1023,380597,14534,129310,socialraadgivning,social,storkoebenhavn,2007
84,316,380597,14534,129310,tandlaege,social,storkoebenhavn,2007
85,288,380597,14534,129310,teknisksundhed,social,storkoebenhavn,2007
86,742,380597,14534,129310,terapi,social,storkoebenhavn,2007
87,1859,380597,11408,129310,elev,oevrige,storkoebenhavn,2007
88,0,380597,11408,129310,forsvar,oevrige,storkoebenhavn,2007
89,216,380597,11408,129310,frivilligt,oevrige,storkoebenhavn,2007
90,4736,380597,11408,129310,student,oevrige,storkoebenhavn,2007
91,13,380597,11408,129310,studiepraktik,oevrige,storkoebenhavn,2007
92,4174,380597,11408,129310,oevrige,oevrige,storkoebenhavn,2007
93,11,380597,11408,129310,kurseroevrige,oevrige,storkoebenhavn,2007
94,40,380597,1889,26694,database,it,nordsjaelland,2007
95,414,380597,1889,26694,itdrift,it,nordsjaelland,2007
96,0,380597,1889,26694,itkurser,it,nordsjaelland,2007
97,276,380597,1889,26694,itledelse,it,nordsjaelland,2007
98,83,380597,1889,26694,internet,it,nordsjaelland,2007
99,1157,380597,1889,26694,systemudvikling,it,nordsjaelland,2007
100,23,380597,1889,26694,telekom,it,nordsjaelland,2007
101,175,380597,1889,26694,virksomhedssystemer,it,nordsjaelland,2007
102,678,380597,2164,26694,byggeteknik,ingenioer,nordsjaelland,2007
103,368,380597,2164,26694,elektronik,ingenioer,nordsjaelland,2007
104,446,380597,2164,26694,kemi,ingenioer,nordsjaelland,2007
105,143,380597,2164,26694,teknikledelse,ingenioer,nordsjaelland,2007
106,384,380597,2164,26694,maskiningenioer,ingenioer,nordsjaelland,2007
107,228,380597,2164,26694,medicinal,ingenioer,nordsjaelland,2007
108,363,380597,2164,26694,produktionsteknik,ingenioer,nordsjaelland,2007
109,0,380597,2138,26694,detailledelse,ledelse,nordsjaelland,2007
110,17,380597,2138,26694,freelancekonsulent,ledelse,nordsjaelland,2007
111,0,380597,2138,26694,hrkurser,ledelse,nordsjaelland,2007
112,276,380597,2138,26694,itledelse,ledelse,nordsjaelland,2007
113,342,380597,2138,26694,institutions,ledelse,nordsjaelland,2007
114,538,380597,2138,26694,leder,ledelse,nordsjaelland,2007
115,143,380597,2138,26694,teknikledelse,ledelse,nordsjaelland,2007
116,237,380597,2138,26694,personale,ledelse,nordsjaelland,2007
117,381,380597,2138,26694,projektledelse,ledelse,nordsjaelland,2007
118,223,380597,2138,26694,salgschef,ledelse,nordsjaelland,2007
119,25,380597,2138,26694,topledelse,ledelse,nordsjaelland,2007
120,0,380597,2138,26694,virksomhedsudvikling,ledelse,nordsjaelland,2007
121,79,380597,2138,26694,oekonomichef,ledelse,nordsjaelland,2007
122,383,380597,5796,26694,bud,handel,nordsjaelland,2007
123,45,380597,5796,26694,boernepasning,handel,nordsjaelland,2007
124,3104,380597,5796,26694,detailhandel,handel,nordsjaelland,2007
125,206,380597,5796,26694,ejendomsservice,handel,nordsjaelland,2007
126,67,380597,5796,26694,frisoer,handel,nordsjaelland,2007
127,1157,380597,5796,26694,hotel,handel,nordsjaelland,2007
128,644,380597,5796,26694,rengoering,handel,nordsjaelland,2007
129,345,380597,5796,26694,service,handel,nordsjaelland,2007
130,95,380597,5796,26694,sikkerhed,handel,nordsjaelland,2007
131,190,380597,3731,26694,blik,industri,nordsjaelland,2007
132,351,380597,3731,26694,byggeri,industri,nordsjaelland,2007
133,264,380597,3731,26694,elektriker,industri,nordsjaelland,2007
134,594,380597,3731,26694,industri,industri,nordsjaelland,2007
135,473,380597,3731,26694,jern,industri,nordsjaelland,2007
136,550,380597,3731,26694,lager,industri,nordsjaelland,2007
137,173,380597,3731,26694,landbrug,industri,nordsjaelland,2007
138,68,380597,3731,26694,maling,industri,nordsjaelland,2007
139,343,380597,3731,26694,mekanik,industri,nordsjaelland,2007
140,314,380597,3731,26694,naeringsmiddel,industri,nordsjaelland,2007
141,41,380597,3731,26694,tekstil,industri,nordsjaelland,2007
142,544,380597,3731,26694,transport,industri,nordsjaelland,2007
143,34,380597,3731,26694,traeindustri,industri,nordsjaelland,2007
144,183,380597,3731,26694,toemrer,industri,nordsjaelland,2007
145,33,380597,1846,26694,design,salg,nordsjaelland,2007
146,53,380597,1846,26694,ejendomsmaegler,salg,nordsjaelland,2007
147,185,380597,1846,26694,grafisk,salg,nordsjaelland,2007
148,99,380597,1846,26694,kommunikation,salg,nordsjaelland,2007
149,54,380597,1846,26694,kultur,salg,nordsjaelland,2007
150,281,380597,1846,26694,marketing,salg,nordsjaelland,2007
151,970,380597,1846,26694,salg,salg,nordsjaelland,2007
152,0,380597,1846,26694,salgskurser,salg,nordsjaelland,2007
153,3,380597,1846,26694,franchise,salg,nordsjaelland,2007
154,42,380597,1846,26694,telemarketing,salg,nordsjaelland,2007
155,76,380597,4792,26694,bibliotek,undervisning,nordsjaelland,2007
156,557,380597,4792,26694,forskning,undervisning,nordsjaelland,2007
157,977,380597,4792,26694,laerer,undervisning,nordsjaelland,2007
158,2925,380597,4792,26694,paedagog,undervisning,nordsjaelland,2007
159,0,380597,4541,26694,akademisk,kontor,nordsjaelland,2007
160,53,380597,4541,26694,ejendomsmaegler,kontor,nordsjaelland,2007
161,206,380597,4541,26694,ejendomsservice,kontor,nordsjaelland,2007
162,572,380597,4541,26694,finans,kontor,nordsjaelland,2007
163,182,380597,4541,26694,indkoeb,kontor,nordsjaelland,2007
164,129,380597,4541,26694,jura,kontor,nordsjaelland,2007
165,1267,380597,4541,26694,kontor,kontor,nordsjaelland,2007
166,0,380597,4541,26694,kontorkurser,kontor,nordsjaelland,2007
167,97,380597,4541,26694,kontorelev,kontor,nordsjaelland,2007
168,143,380597,4541,26694,logistik,kontor,nordsjaelland,2007
169,333,380597,4541,26694,offentlig,kontor,nordsjaelland,2007
170,43,380597,4541,26694,oversaettelse,kontor,nordsjaelland,2007
171,542,380597,4541,26694,sekretaer,kontor,nordsjaelland,2007
172,1340,380597,4541,26694,oekonomi,kontor,nordsjaelland,2007
173,211,380597,3371,26694,laege,social,nordsjaelland,2007
174,188,380597,3371,26694,laegesekretaer,social,nordsjaelland,2007
175,1333,380597,3371,26694,pleje,social,nordsjaelland,2007
176,129,380597,3371,26694,psykologi,social,nordsjaelland,2007
177,301,380597,3371,26694,socialraadgivning,social,nordsjaelland,2007
178,114,380597,3371,26694,tandlaege,social,nordsjaelland,2007
179,39,380597,3371,26694,teknisksundhed,social,nordsjaelland,2007
180,205,380597,3371,26694,terapi,social,nordsjaelland,2007
181,529,380597,2105,26694,elev,oevrige,nordsjaelland,2007
182,0,380597,2105,26694,forsvar,oevrige,nordsjaelland,2007
183,58,380597,2105,26694,frivilligt,oevrige,nordsjaelland,2007
184,469,380597,2105,26694,student,oevrige,nordsjaelland,2007
185,3,380597,2105,26694,studiepraktik,oevrige,nordsjaelland,2007
186,964,380597,2105,26694,oevrige,oevrige,nordsjaelland,2007
187,0,380597,2105,26694,kurseroevrige,oevrige,nordsjaelland,2007
188,8,380597,984,38163,database,it,region-sjaelland,2007
189,277,380597,984,38163,itdrift,it,region-sjaelland,2007
190,2,380597,984,38163,itkurser,it,region-sjaelland,2007
191,86,380597,984,38163,itledelse,it,region-sjaelland,2007
192,36,380597,984,38163,internet,it,region-sjaelland,2007
193,579,380597,984,38163,systemudvikling,it,region-sjaelland,2007
194,42,380597,984,38163,telekom,it,region-sjaelland,2007
195,71,380597,984,38163,virksomhedssystemer,it,region-sjaelland,2007
196,721,380597,2189,38163,byggeteknik,ingenioer,region-sjaelland,2007
197,291,380597,2189,38163,elektronik,ingenioer,region-sjaelland,2007
198,367,380597,2189,38163,kemi,ingenioer,region-sjaelland,2007
199,171,380597,2189,38163,teknikledelse,ingenioer,region-sjaelland,2007
200,464,380597,2189,38163,maskiningenioer,ingenioer,region-sjaelland,2007
201,178,380597,2189,38163,medicinal,ingenioer,region-sjaelland,2007
202,364,380597,2189,38163,produktionsteknik,ingenioer,region-sjaelland,2007
203,0,380597,2321,38163,detailledelse,ledelse,region-sjaelland,2007
204,26,380597,2321,38163,freelancekonsulent,ledelse,region-sjaelland,2007
205,0,380597,2321,38163,hrkurser,ledelse,region-sjaelland,2007
206,86,380597,2321,38163,itledelse,ledelse,region-sjaelland,2007
207,563,380597,2321,38163,institutions,ledelse,region-sjaelland,2007
208,632,380597,2321,38163,leder,ledelse,region-sjaelland,2007
209,171,380597,2321,38163,teknikledelse,ledelse,region-sjaelland,2007
210,216,380597,2321,38163,personale,ledelse,region-sjaelland,2007
211,299,380597,2321,38163,projektledelse,ledelse,region-sjaelland,2007
212,284,380597,2321,38163,salgschef,ledelse,region-sjaelland,2007
213,37,380597,2321,38163,topledelse,ledelse,region-sjaelland,2007
214,0,380597,2321,38163,virksomhedsudvikling,ledelse,region-sjaelland,2007
215,101,380597,2321,38163,oekonomichef,ledelse,region-sjaelland,2007
216,299,380597,8629,38163,bud,handel,region-sjaelland,2007
217,92,380597,8629,38163,boernepasning,handel,region-sjaelland,2007
218,4179,380597,8629,38163,detailhandel,handel,region-sjaelland,2007
219,233,380597,8629,38163,ejendomsservice,handel,region-sjaelland,2007
220,197,380597,8629,38163,frisoer,handel,region-sjaelland,2007
221,1670,380597,8629,38163,hotel,handel,region-sjaelland,2007
222,1559,380597,8629,38163,rengoering,handel,region-sjaelland,2007
223,547,380597,8629,38163,service,handel,region-sjaelland,2007
224,199,380597,8629,38163,sikkerhed,handel,region-sjaelland,2007
225,464,380597,8159,38163,blik,industri,region-sjaelland,2007
226,866,380597,8159,38163,byggeri,industri,region-sjaelland,2007
227,626,380597,8159,38163,elektriker,industri,region-sjaelland,2007
228,840,380597,8159,38163,industri,industri,region-sjaelland,2007
229,1018,380597,8159,38163,jern,industri,region-sjaelland,2007
230,953,380597,8159,38163,lager,industri,region-sjaelland,2007
231,449,380597,8159,38163,landbrug,industri,region-sjaelland,2007
232,177,380597,8159,38163,maling,industri,region-sjaelland,2007
233,869,380597,8159,38163,mekanik,industri,region-sjaelland,2007
234,532,380597,8159,38163,naeringsmiddel,industri,region-sjaelland,2007
235,105,380597,8159,38163,tekstil,industri,region-sjaelland,2007
236,1502,380597,8159,38163,transport,industri,region-sjaelland,2007
237,82,380597,8159,38163,traeindustri,industri,region-sjaelland,2007
238,476,380597,8159,38163,toemrer,industri,region-sjaelland,2007
239,47,380597,2907,38163,design,salg,region-sjaelland,2007
240,70,380597,2907,38163,ejendomsmaegler,salg,region-sjaelland,2007
241,176,380597,2907,38163,grafisk,salg,region-sjaelland,2007
242,74,380597,2907,38163,kommunikation,salg,region-sjaelland,2007
243,187,380597,2907,38163,kultur,salg,region-sjaelland,2007
244,194,380597,2907,38163,marketing,salg,region-sjaelland,2007
245,1869,380597,2907,38163,salg,salg,region-sjaelland,2007
246,0,380597,2907,38163,salgskurser,salg,region-sjaelland,2007
247,17,380597,2907,38163,franchise,salg,region-sjaelland,2007
248,101,380597,2907,38163,telemarketing,salg,region-sjaelland,2007
249,74,380597,6133,38163,bibliotek,undervisning,region-sjaelland,2007
250,377,380597,6133,38163,forskning,undervisning,region-sjaelland,2007
251,1581,380597,6133,38163,laerer,undervisning,region-sjaelland,2007
252,3706,380597,6133,38163,paedagog,undervisning,region-sjaelland,2007
253,0,380597,4614,38163,akademisk,kontor,region-sjaelland,2007
254,70,380597,4614,38163,ejendomsmaegler,kontor,region-sjaelland,2007
255,233,380597,4614,38163,ejendomsservice,kontor,region-sjaelland,2007
256,610,380597,4614,38163,finans,kontor,region-sjaelland,2007
257,152,380597,4614,38163,indkoeb,kontor,region-sjaelland,2007
258,114,380597,4614,38163,jura,kontor,region-sjaelland,2007
259,1352,380597,4614,38163,kontor,kontor,region-sjaelland,2007
260,1,380597,4614,38163,kontorkurser,kontor,region-sjaelland,2007
261,118,380597,4614,38163,kontorelev,kontor,region-sjaelland,2007
262,147,380597,4614,38163,logistik,kontor,region-sjaelland,2007
263,357,380597,4614,38163,offentlig,kontor,region-sjaelland,2007
