,year,area,sektor,jobtype,n_jobtype_area_,n_sektor_area,n_area,n_year
84,2007,storkoebenhavn,social,tandlaege,316,14534,129310,380597
85,2007,storkoebenhavn,social,teknisksundhed,288,14534,129310,380597
86,2007,storkoebenhavn,social,terapi,742,14534,129310,380597
87,2007,storkoebenhavn,oevrige,elev,1859,11408,129310,380597
88,2007,storkoebenhavn,oevrige,forsvar,0,11408,129310,380597
89,2007,storkoebenhavn,oevrige,frivilligt,216,11408,129310,380597
90,2007,storkoebenhavn,oevrige,student,4736,11408,129310,380597
91,2007,storkoebenhavn,oevrige,studiepraktik,13,11408,129310,380597
92,2007,storkoebenhavn,oevrige,oevrige,4174,11408,129310,380597
93,2007,storkoebenhavn,oevrige,kurseroevrige,11,11408,129310,380597
94,2007,nordsjaelland,it,database,40,1889,26694,380597
95,2007,nordsjaelland,it,itdrift,414,1889,26694,380597
96,2007,nordsjaelland,it,itkurser,0,1889,26694,380597
98,2007,nordsjaelland,it,internet,83,1889,26694,380597
99,2007,nordsjaelland,it,systemudvikling,1157,1889,26694,380597
100,2007,nordsjaelland,it,telekom,23,1889,26694,380597
101,2007,nordsjaelland,it,virksomhedssystemer,175,1889,26694,380597
102,2007,nordsjaelland,ingenioer,byggeteknik,678,2164,26694,380597
103,2007,nordsjaelland,ingenioer,elektronik,368,2164,26694,380597
104,2007,nordsjaelland,ingenioer,kemi,446,2164,26694,380597
106,2007,nordsjaelland,ingenioer,maskiningenioer,384,2164,26694,380597
107,2007,nordsjaelland,ingenioer,medicinal,228,2164,26694,380597
108,2007,nordsjaelland,ingenioer,produktionsteknik,363,2164,26694,380597
109,2007,nordsjaelland,ledelse,detailledelse,0,2138,26694,380597
110,2007,nordsjaelland,ledelse,freelancekonsulent,17,2138,26694,380597
111,2007,nordsjaelland,ledelse,hrkurser,0,2138,26694,380597
112,2007,nordsjaelland,ledelse,itledelse,276,2138,26694,380597
113,2007,nordsjaelland,ledelse,institutions,342,2138,26694,380597
114,2007,nordsjaelland,ledelse,leder,538,2138,26694,380597
