,year,area,sektor,jobtype,n_jobtype_area,n_sektor_area,n_sektor,n_area,n_year,20-64years_area,20-64years_year,n_jobtype_area_pc,n_sektor_area_pc,n_area_pc,n_year_pc,FD_jobtype_area,FD_sektor_area,FD_sektor,FD_area,FD_year,"BNP, 1000 kr. (2010)",FD_BNP
0,2007,region hovedstaden,handel,boernepasning,234,29369,78377,157867,380597,1021591,3278570,0.000229054,0.028748296,0.154530531,0.116086282,,,,,,344.115676,
1,2007,region hovedstaden,handel,bud,1097,29369,78377,157867,380597,1021591,3278570,0.001073815,0.028748296,0.154530531,0.116086282,,,,,,344.115676,
2,2007,region hovedstaden,handel,detailhandel,15574,29369,78377,157867,380597,1021591,3278570,0.015244848,0.028748296,0.154530531,0.116086282,,,,,,344.115676,
3,2007,region hovedstaden,handel,frisoer,335,29369,78377,157867,380597,1021591,3278570,0.00032792,0.028748296,0.154530531,0.116086282,,,,,,344.115676,
4,2007,region hovedstaden,handel,hotel,6901,29369,78377,157867,380597,1021591,3278570,0.00675515,0.028748296,0.154530531,0.116086282,,,,,,344.115676,
5,2007,region hovedstaden,handel,rengoering,2985,29369,78377,157867,380597,1021591,3278570,0.002921913,0.028748296,0.154530531,0.116086282,,,,,,344.115676,
6,2007,region hovedstaden,handel,service,1790,29369,78377,157867,380597,1021591,3278570,0.001752169,0.028748296,0.154530531,0.116086282,,,,,,344.115676,
7,2007,region hovedstaden,handel,sikkerhed,580,29369,78377,157867,380597,1021591,3278570,0.000567742,0.028748296,0.154530531,0.116086282,,,,,,344.115676,
8,2007,region hovedstaden,industri,blik,867,16285,61768,157867,380597,1021591,3278570,0.000848676,0.015940822,0.154530531,0.116086282,,,,,,344.115676,
9,2007,region hovedstaden,industri,byggeri,1493,16285,61768,157867,380597,1021591,3278570,0.001461446,0.015940822,0.154530531,0.116086282,,,,,,344.115676,
10,2007,region hovedstaden,industri,elektriker,1487,16285,61768,157867,380597,1021591,3278570,0.001455573,0.015940822,0.154530531,0.116086282,,,,,,344.115676,
11,2007,region hovedstaden,industri,industri,1806,16285,61768,157867,380597,1021591,3278570,0.001767831,0.015940822,0.154530531,0.116086282,,,,,,344.115676,
12,2007,region hovedstaden,industri,jern,1495,16285,61768,157867,380597,1021591,3278570,0.001463404,0.015940822,0.154530531,0.116086282,,,,,,344.115676,
13,2007,region hovedstaden,industri,lager,2892,16285,61768,157867,380597,1021591,3278570,0.002830879,0.015940822,0.154530531,0.116086282,,,,,,344.115676,
14,2007,region hovedstaden,industri,landbrug,510,16285,61768,157867,380597,1021591,3278570,0.000499221,0.015940822,0.154530531,0.116086282,,,,,,344.115676,
15,2007,region hovedstaden,industri,maling,354,16285,61768,157867,380597,1021591,3278570,0.000346518,0.015940822,0.154530531,0.116086282,,,,,,344.115676,
16,2007,region hovedstaden,industri,mekanik,1355,16285,61768,157867,380597,1021591,3278570,0.001326363,0.015940822,0.154530531,0.116086282,,,,,,344.115676,
17,2007,region hovedstaden,industri,naeringsmiddel,1557,16285,61768,157867,380597,1021591,3278570,0.001524093,0.015940822,0.154530531,0.116086282,,,,,,344.115676,
18,2007,region hovedstaden,industri,tekstil,246,16285,61768,157867,380597,1021591,3278570,0.000240801,0.015940822,0.154530531,0.116086282,,,,,,344.115676,
19,2007,region hovedstaden,industri,toemrer,781,16285,61768,157867,380597,1021591,3278570,0.000764494,0.015940822,0.154530531,0.116086282,,,,,,344.115676,
20,2007,region hovedstaden,industri,traeindustri,125,16285,61768,157867,380597,1021591,3278570,0.000122358,0.015940822,0.154530531,0.116086282,,,,,,344.115676,
21,2007,region hovedstaden,industri,transport,2764,16285,61768,157867,380597,1021591,3278570,0.002705584,0.015940822,0.154530531,0.116086282,,,,,,344.115676,
22,2007,region hovedstaden,ingenioer,byggeteknik,2754,10976,24882,157867,380597,1021591,3278570,0.002695795,0.010744026,0.154530531,0.116086282,,,,,,344.115676,
23,2007,region hovedstaden,ingenioer,elektronik,1590,10976,24882,157867,380597,1021591,3278570,0.001556396,0.010744026,0.154530531,0.116086282,,,,,,344.115676,
24,2007,region hovedstaden,ingenioer,kemi,3030,10976,24882,157867,380597,1021591,3278570,0.002965962,0.010744026,0.154530531,0.116086282,,,,,,344.115676,
25,2007,region hovedstaden,ingenioer,maskiningenioer,1943,10976,24882,157867,380597,1021591,3278570,0.001901935,0.010744026,0.154530531,0.116086282,,,,,,344.115676,
26,2007,region hovedstaden,ingenioer,medicinal,1381,10976,24882,157867,380597,1021591,3278570,0.001351813,0.010744026,0.154530531,0.116086282,,,,,,344.115676,
27,2007,region hovedstaden,ingenioer,produktionsteknik,1613,10976,24882,157867,380597,1021591,3278570,0.00157891,0.010744026,0.154530531,0.116086282,,,,,,344.115676,
28,2007,region hovedstaden,it,database,488,16080,26712,157867,380597,1021591,3278570,0.000477686,0.015740154,0.154530531,0.116086282,,,,,,344.115676,
29,2007,region hovedstaden,it,internet,805,16080,26712,157867,380597,1021591,3278570,0.000787987,0.015740154,0.154530531,0.116086282,,,,,,344.115676,
30,2007,region hovedstaden,it,itdrift,3323,16080,26712,157867,380597,1021591,3278570,0.003252769,0.015740154,0.154530531,0.116086282,,,,,,344.115676,
31,2007,region hovedstaden,it,itkurser,4,16080,26712,157867,380597,1021591,3278570,3.92e-06,0.015740154,0.154530531,0.116086282,,,,,,344.115676,
32,2007,region hovedstaden,it,systemudvikling,9344,16080,26712,157867,380597,1021591,3278570,0.009146518,0.015740154,0.154530531,0.116086282,,,,,,344.115676,
33,2007,region hovedstaden,it,telekom,379,16080,26712,157867,380597,1021591,3278570,0.00037099,0.015740154,0.154530531,0.116086282,,,,,,344.115676,
34,2007,region hovedstaden,it,virksomhedssystemer,1492,16080,26712,157867,380597,1021591,3278570,0.001460467,0.015740154,0.154530531,0.116086282,,,,,,344.115676,
35,2007,region hovedstaden,kontor,akademisk,0,37119,67563,157867,380597,1021591,3278570,0.0,0.036334502,0.154530531,0.116086282,,,,,,344.115676,
36,2007,region hovedstaden,kontor,ejendomsmaegler,263,37119,67563,157867,380597,1021591,3278570,0.000257442,0.036334502,0.154530531,0.116086282,,,,,,344.115676,
37,2007,region hovedstaden,kontor,ejendomsservice,1112,37119,67563,157867,380597,1021591,3278570,0.001088498,0.036334502,0.154530531,0.116086282,,,,,,344.115676,
38,2007,region hovedstaden,kontor,finans,5423,37119,67563,157867,380597,1021591,3278570,0.005308387,0.036334502,0.154530531,0.116086282,,,,,,344.115676,
39,2007,region hovedstaden,kontor,indkoeb,1106,37119,67563,157867,380597,1021591,3278570,0.001082625,0.036334502,0.154530531,0.116086282,,,,,,344.115676,
40,2007,region hovedstaden,kontor,jura,1509,37119,67563,157867,380597,1021591,3278570,0.001477108,0.036334502,0.154530531,0.116086282,,,,,,344.115676,
41,2007,region hovedstaden,kontor,kontor,11719,37119,67563,157867,380597,1021591,3278570,0.011471323,0.036334502,0.154530531,0.116086282,,,,,,344.115676,
42,2007,region hovedstaden,kontor,kontorelev,665,37119,67563,157867,380597,1021591,3278570,0.000650945,0.036334502,0.154530531,0.116086282,,,,,,344.115676,
43,2007,region hovedstaden,kontor,kontorkurser,8,37119,67563,157867,380597,1021591,3278570,7.83e-06,0.036334502,0.154530531,0.116086282,,,,,,344.115676,
44,2007,region hovedstaden,kontor,logistik,1432,37119,67563,157867,380597,1021591,3278570,0.001401735,0.036334502,0.154530531,0.116086282,,,,,,344.115676,
45,2007,region hovedstaden,kontor,oekonomi,10926,37119,67563,157867,380597,1021591,3278570,0.010695082,0.036334502,0.154530531,0.116086282,,,,,,344.115676,
46,2007,region hovedstaden,kontor,offentlig,1715,37119,67563,157867,380597,1021591,3278570,0.001678754,0.036334502,0.154530531,0.116086282,,,,,,344.115676,
47,2007,region hovedstaden,kontor,oversaettelse,403,37119,67563,157867,380597,1021591,3278570,0.000394483,0.036334502,0.154530531,0.116086282,,,,,,344.115676,
48,2007,region hovedstaden,kontor,sekretaer,4119,37119,67563,157867,380597,1021591,3278570,0.004031946,0.036334502,0.154530531,0.116086282,,,,,,344.115676,
49,2007,region hovedstaden,ledelse,detailledelse,0,15393,30509,157867,380597,1021591,3278570,0.0,0.015067674,0.154530531,0.116086282,,,,,,344.115676,
50,2007,region hovedstaden,ledelse,freelancekonsulent,331,15393,30509,157867,380597,1021591,3278570,0.000324004,0.015067674,0.154530531,0.116086282,,,,,,344.115676,
51,2007,region hovedstaden,ledelse,hrkurser,9,15393,30509,157867,380597,1021591,3278570,8.81e-06,0.015067674,0.154530531,0.116086282,,,,,,344.115676,
52,2007,region hovedstaden,ledelse,institutions,1529,15393,30509,157867,380597,1021591,3278570,0.001496685,0.015067674,0.154530531,0.116086282,,,,,,344.115676,
53,2007,region hovedstaden,ledelse,itledelse,2628,15393,30509,157867,380597,1021591,3278570,0.002572458,0.015067674,0.154530531,0.116086282,,,,,,344.115676,
54,2007,region hovedstaden,ledelse,leder,3959,15393,30509,157867,380597,1021591,3278570,0.003875328,0.015067674,0.154530531,0.116086282,,,,,,344.115676,
55,2007,region hovedstaden,ledelse,oekonomichef,637,15393,30509,157867,380597,1021591,3278570,0.000623537,0.015067674,0.154530531,0.116086282,,,,,,344.115676,
56,2007,region hovedstaden,ledelse,personale,2040,15393,30509,157867,380597,1021591,3278570,0.001996885,0.015067674,0.154530531,0.116086282,,,,,,344.115676,
57,2007,region hovedstaden,ledelse,projektledelse,2928,15393,30509,157867,380597,1021591,3278570,0.002866118,0.015067674,0.154530531,0.116086282,,,,,,344.115676,
58,2007,region hovedstaden,ledelse,salgschef,1643,15393,30509,157867,380597,1021591,3278570,0.001608276,0.015067674,0.154530531,0.116086282,,,,,,344.115676,
59,2007,region hovedstaden,ledelse,teknikledelse,701,15393,30509,157867,380597,1021591,3278570,0.000686185,0.015067674,0.154530531,0.116086282,,,,,,344.115676,
60,2007,region hovedstaden,ledelse,topledelse,196,15393,30509,157867,380597,1021591,3278570,0.000191858,0.015067674,0.154530531,0.116086282,,,,,,344.115676,
61,2007,region hovedstaden,ledelse,virksomhedsudvikling,0,15393,30509,157867,380597,1021591,3278570,0.0,0.015067674,0.154530531,0.116086282,,,,,,344.115676,
62,2007,region hovedstaden,oevrige,elev,2479,13693,30713,157867,380597,1021591,3278570,0.002426607,0.013403603,0.154530531,0.116086282,,,,,,344.115676,
63,2007,region hovedstaden,oevrige,forsvar,0,13693,30713,157867,380597,1021591,3278570,0.0,0.013403603,0.154530531,0.116086282,,,,,,344.115676,
64,2007,region hovedstaden,oevrige,frivilligt,276,13693,30713,157867,380597,1021591,3278570,0.000270167,0.013403603,0.154530531,0.116086282,,,,,,344.115676,
65,2007,region hovedstaden,oevrige,kurseroevrige,12,13693,30713,157867,380597,1021591,3278570,1.17e-05,0.013403603,0.154530531,0.116086282,,,,,,344.115676,
66,2007,region hovedstaden,oevrige,oevrige,5186,13693,30713,157867,380597,1021591,3278570,0.005076396,0.013403603,0.154530531,0.116086282,,,,,,344.115676,
67,2007,region hovedstaden,oevrige,student,5233,13693,30713,157867,380597,1021591,3278570,0.005122402,0.013403603,0.154530531,0.116086282,,,,,,344.115676,
68,2007,region hovedstaden,oevrige,studiepraktik,18,13693,30713,157867,380597,1021591,3278570,1.76e-05,0.013403603,0.154530531,0.116086282,,,,,,344.115676,
69,2007,region hovedstaden,salg,design,235,15555,32061,157867,380597,1021591,3278570,0.000230033,0.01522625,0.154530531,0.116086282,,,,,,344.115676,
70,2007,region hovedstaden,salg,franchise,33,15555,32061,157867,380597,1021591,3278570,3.23e-05,0.01522625,0.154530531,0.116086282,,,,,,344.115676,
71,2007,region hovedstaden,salg,grafisk,970,15555,32061,157867,380597,1021591,3278570,0.000949499,0.01522625,0.154530531,0.116086282,,,,,,344.115676,
72,2007,region hovedstaden,salg,kommunikation,1201,15555,32061,157867,380597,1021591,3278570,0.001175617,0.01522625,0.154530531,0.116086282,,,,,,344.115676,
73,2007,region hovedstaden,salg,kultur,331,15555,32061,157867,380597,1021591,3278570,0.000324004,0.01522625,0.154530531,0.116086282,,,,,,344.115676,
74,2007,region hovedstaden,salg,marketing,2623,15555,32061,157867,380597,1021591,3278570,0.002567564,0.01522625,0.154530531,0.116086282,,,,,,344.115676,
75,2007,region hovedstaden,salg,salg,8247,15555,32061,157867,380597,1021591,3278570,0.008072702,0.01522625,0.154530531,0.116086282,,,,,,344.115676,
76,2007,region hovedstaden,salg,salgskurser,3,15555,32061,157867,380597,1021591,3278570,2.94e-06,0.01522625,0.154530531,0.116086282,,,,,,344.115676,
77,2007,region hovedstaden,salg,telemarketing,1004,15555,32061,157867,380597,1021591,3278570,0.000982781,0.01522625,0.154530531,0.116086282,,,,,,344.115676,
78,2007,region hovedstaden,social,laege,2018,18193,54341,157867,380597,1021591,3278570,0.00197535,0.017808497,0.154530531,0.116086282,,,,,,344.115676,
79,2007,region hovedstaden,social,laegesekretaer,1371,18193,54341,157867,380597,1021591,3278570,0.001342024,0.017808497,0.154530531,0.116086282,,,,,,344.115676,
80,2007,region hovedstaden,social,pleje,5876,18193,54341,157867,380597,1021591,3278570,0.005751813,0.017808497,0.154530531,0.116086282,,,,,,344.115676,
81,2007,region hovedstaden,social,psykologi,578,18193,54341,157867,380597,1021591,3278570,0.000565784,0.017808497,0.154530531,0.116086282,,,,,,344.115676,
82,2007,region hovedstaden,social,socialraadgivning,1352,18193,54341,157867,380597,1021591,3278570,0.001323426,0.017808497,0.154530531,0.116086282,,,,,,344.115676,
83,2007,region hovedstaden,social,tandlaege,434,18193,54341,157867,380597,1021591,3278570,0.000424828,0.017808497,0.154530531,0.116086282,,,,,,344.115676,
84,2007,region hovedstaden,social,teknisksundhed,329,18193,54341,157867,380597,1021591,3278570,0.000322047,0.017808497,0.154530531,0.116086282,,,,,,344.115676,
85,2007,region hovedstaden,social,terapi,956,18193,54341,157867,380597,1021591,3278570,0.000935795,0.017808497,0.154530531,0.116086282,,,,,,344.115676,
86,2007,region hovedstaden,undervisning,bibliotek,307,22558,50170,157867,380597,1021591,3278570,0.000300512,0.022081244,0.154530531,0.116086282,,,,,,344.115676,
87,2007,region hovedstaden,undervisning,forskning,4095,22558,50170,157867,380597,1021591,3278570,0.004008453,0.022081244,0.154530531,0.116086282,,,,,,344.115676,
88,2007,region hovedstaden,undervisning,laerer,3339,22558,50170,157867,380597,1021591,3278570,0.003268431,0.022081244,0.154530531,0.116086282,,,,,,344.115676,
89,2007,region hovedstaden,undervisning,paedagog,13579,22558,50170,157867,380597,1021591,3278570,0.013292012,0.022081244,0.154530531,0.116086282,,,,,,344.115676,
90,2007,region syddanmark,handel,boernepasning,347,16207,78377,78473,380597,697412,3278570,0.000497554,0.023238774,0.112520289,0.116086282,,,,,,344.115676,
91,2007,region syddanmark,handel,bud,329,16207,78377,78473,380597,697412,3278570,0.000471744,0.023238774,0.112520289,0.116086282,,,,,,344.115676,
92,2007,region syddanmark,handel,detailhandel,7203,16207,78377,78473,380597,697412,3278570,0.010328185,0.023238774,0.112520289,0.116086282,,,,,,344.115676,
93,2007,region syddanmark,handel,frisoer,198,16207,78377,78473,380597,697412,3278570,0.000283907,0.023238774,0.112520289,0.116086282,,,,,,344.115676,
94,2007,region syddanmark,handel,hotel,3527,16207,78377,78473,380597,697412,3278570,0.005057269,0.023238774,0.112520289,0.116086282,,,,,,344.115676,
95,2007,region syddanmark,handel,rengoering,3712,16207,78377,78473,380597,697412,3278570,0.005322535,0.023238774,0.112520289,0.116086282,,,,,,344.115676,
96,2007,region syddanmark,handel,service,1064,16207,78377,78473,380597,697412,3278570,0.001525641,0.023238774,0.112520289,0.116086282,,,,,,344.115676,
97,2007,region syddanmark,handel,sikkerhed,243,16207,78377,78473,380597,697412,3278570,0.000348431,0.023238774,0.112520289,0.116086282,,,,,,344.115676,
98,2007,region syddanmark,industri,blik,827,16511,61768,78473,380597,697412,3278570,0.001185813,0.023674671,0.112520289,0.116086282,,,,,,344.115676,
99,2007,region syddanmark,industri,byggeri,1514,16511,61768,78473,380597,697412,3278570,0.002170883,0.023674671,0.112520289,0.116086282,,,,,,344.115676,
100,2007,region syddanmark,industri,elektriker,1435,16511,61768,78473,380597,697412,3278570,0.002057607,0.023674671,0.112520289,0.116086282,,,,,,344.115676,
101,2007,region syddanmark,industri,industri,2393,16511,61768,78473,380597,697412,3278570,0.003431257,0.023674671,0.112520289,0.116086282,,,,,,344.115676,
102,2007,region syddanmark,industri,jern,2568,16511,61768,78473,380597,697412,3278570,0.003682185,0.023674671,0.112520289,0.116086282,,,,,,344.115676,
103,2007,region syddanmark,industri,lager,2431,16511,61768,78473,380597,697412,3278570,0.003485744,0.023674671,0.112520289,0.116086282,,,,,,344.115676,
104,2007,region syddanmark,industri,landbrug,705,16511,61768,78473,380597,697412,3278570,0.00101088,0.023674671,0.112520289,0.116086282,,,,,,344.115676,
105,2007,region syddanmark,industri,maling,308,16511,61768,78473,380597,697412,3278570,0.000441633,0.023674671,0.112520289,0.116086282,,,,,,344.115676,
106,2007,region syddanmark,industri,mekanik,1654,16511,61768,78473,380597,697412,3278570,0.002371625,0.023674671,0.112520289,0.116086282,,,,,,344.115676,
107,2007,region syddanmark,industri,naeringsmiddel,725,16511,61768,78473,380597,697412,3278570,0.001039558,0.023674671,0.112520289,0.116086282,,,,,,344.115676,
108,2007,region syddanmark,industri,tekstil,297,16511,61768,78473,380597,697412,3278570,0.00042586,0.023674671,0.112520289,0.116086282,,,,,,344.115676,
109,2007,region syddanmark,industri,toemrer,747,16511,61768,78473,380597,697412,3278570,0.001071103,0.023674671,0.112520289,0.116086282,,,,,,344.115676,
110,2007,region syddanmark,industri,traeindustri,270,16511,61768,78473,380597,697412,3278570,0.000387146,0.023674671,0.112520289,0.116086282,,,,,,344.115676,
111,2007,region syddanmark,industri,transport,2443,16511,61768,78473,380597,697412,3278570,0.003502951,0.023674671,0.112520289,0.116086282,,,,,,344.115676,
112,2007,region syddanmark,ingenioer,byggeteknik,1978,5994,24882,78473,380597,697412,3278570,0.0028362,0.008594633,0.112520289,0.116086282,,,,,,344.115676,
113,2007,region syddanmark,ingenioer,elektronik,977,5994,24882,78473,380597,697412,3278570,0.001400894,0.008594633,0.112520289,0.116086282,,,,,,344.115676,
114,2007,region syddanmark,ingenioer,kemi,707,5994,24882,78473,380597,697412,3278570,0.001013748,0.008594633,0.112520289,0.116086282,,,,,,344.115676,
115,2007,region syddanmark,ingenioer,maskiningenioer,1437,5994,24882,78473,380597,697412,3278570,0.002060475,0.008594633,0.112520289,0.116086282,,,,,,344.115676,
116,2007,region syddanmark,ingenioer,medicinal,297,5994,24882,78473,380597,697412,3278570,0.00042586,0.008594633,0.112520289,0.116086282,,,,,,344.115676,
117,2007,region syddanmark,ingenioer,produktionsteknik,1261,5994,24882,78473,380597,697412,3278570,0.001808113,0.008594633,0.112520289,0.116086282,,,,,,344.115676,
118,2007,region syddanmark,it,database,49,3147,26712,78473,380597,697412,3278570,7.03e-05,0.004512397,0.112520289,0.116086282,,,,,,344.115676,
119,2007,region syddanmark,it,internet,150,3147,26712,78473,380597,697412,3278570,0.000215081,0.004512397,0.112520289,0.116086282,,,,,,344.115676,
120,2007,region syddanmark,it,itdrift,833,3147,26712,78473,380597,697412,3278570,0.001194416,0.004512397,0.112520289,0.116086282,,,,,,344.115676,
121,2007,region syddanmark,it,itkurser,3,3147,26712,78473,380597,697412,3278570,4.3e-06,0.004512397,0.112520289,0.116086282,,,,,,344.115676,
122,2007,region syddanmark,it,systemudvikling,1845,3147,26712,78473,380597,697412,3278570,0.002645495,0.004512397,0.112520289,0.116086282,,,,,,344.115676,
123,2007,region syddanmark,it,telekom,78,3147,26712,78473,380597,697412,3278570,0.000111842,0.004512397,0.112520289,0.116086282,,,,,,344.115676,
124,2007,region syddanmark,it,virksomhedssystemer,339,3147,26712,78473,380597,697412,3278570,0.000486083,0.004512397,0.112520289,0.116086282,,,,,,344.115676,
125,2007,region syddanmark,kontor,akademisk,0,11794,67563,78473,380597,697412,3278570,0.0,0.016911094,0.112520289,0.116086282,,,,,,344.115676,
126,2007,region syddanmark,kontor,ejendomsmaegler,89,11794,67563,78473,380597,697412,3278570,0.000127615,0.016911094,0.112520289,0.116086282,,,,,,344.115676,
127,2007,region syddanmark,kontor,ejendomsservice,348,11794,67563,78473,380597,697412,3278570,0.000498988,0.016911094,0.112520289,0.116086282,,,,,,344.115676,
128,2007,region syddanmark,kontor,finans,1289,11794,67563,78473,380597,697412,3278570,0.001848262,0.016911094,0.112520289,0.116086282,,,,,,344.115676,
129,2007,region syddanmark,kontor,indkoeb,697,11794,67563,78473,380597,697412,3278570,0.000999409,0.016911094,0.112520289,0.116086282,,,,,,344.115676,
130,2007,region syddanmark,kontor,jura,217,11794,67563,78473,380597,697412,3278570,0.00031115,0.016911094,0.112520289,0.116086282,,,,,,344.115676,
131,2007,region syddanmark,kontor,kontor,3485,11794,67563,78473,380597,697412,3278570,0.004997046,0.016911094,0.112520289,0.116086282,,,,,,344.115676,
132,2007,region syddanmark,kontor,kontorelev,306,11794,67563,78473,380597,697412,3278570,0.000438765,0.016911094,0.112520289,0.116086282,,,,,,344.115676,
133,2007,region syddanmark,kontor,kontorkurser,5,11794,67563,78473,380597,697412,3278570,7.17e-06,0.016911094,0.112520289,0.116086282,,,,,,344.115676,
